locs,techs,timesteps,storage
NL11,hydrogen_to_power,2015-03-29 03:00:00,0.0
NL11,hydrogen_to_power,2015-03-29 06:00:00,0.0
NL11,hydrogen_to_power,2015-03-29 09:00:00,0.0
NL11,hydrogen_to_power,2015-03-29 12:00:00,0.0
NL11,hydrogen_to_power,2015-03-29 15:00:00,0.0
NL11,hydrogen_to_power,2015-03-29 18:00:00,0.0
NL11,hydrogen_to_power,2015-03-29 21:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 00:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 03:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 06:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 09:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 12:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 15:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 18:00:00,0.0
NL11,hydrogen_to_power,2015-03-30 21:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 00:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 03:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 06:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 09:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 12:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 15:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 18:00:00,0.0
NL11,hydrogen_to_power,2015-03-31 21:00:00,0.0
NL12,battery,2015-03-01 00:00:00,0.0
NL12,battery,2015-03-01 03:00:00,0.0
NL12,battery,2015-03-01 06:00:00,0.0
NL12,battery,2015-03-01 09:00:00,0.18317201
NL12,battery,2015-03-01 12:00:00,0.69121513
NL12,battery,2015-03-01 15:00:00,0.52899117
